"# Product Variants","Active","Activity Exception Decoration","Can be Sold","Cost","Cost Currency","Currency","Favorite","Forecasted Quantity","Internal Reference","Name","Product Template Tags","Quantity On Hand","Sales Price","Show On Hand Qty Status Button","Type"
"1","True","","True","0.0","THB","THB","Normal","0.0","","Black","","0.0","15.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","Blueberry","","0.0","20.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","DISC","Discount","","0.0","0.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","Rasberry","","0.0","20.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","Strawberry","","0.0","20.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","ကန်စွန်းရွက်သုတ်","","0.0","30.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","ကိုက်လန်သုတ်","","0.0","30.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","ကီဝီ","","0.0","20.0","","Consumable"
"1","True","","True","7.0","THB","THB","Normal","0.0","","ကုလားကြော်","","0.0","15.0","","Consumable"
"1","True","","True","7.0","THB","THB","Normal","0.0","","ကောက်ညှင်းပေါင်း","","0.0","15.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","ကော်ဖီ နက်(စ်) ","","0.0","15.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","ကျောက်ပွင့်သုတ်","","0.0","30.0","","Consumable"
"1","True","","True","7.0","THB","THB","Normal","0.0","","ကြက်သွန်ကြော်","","0.0","15.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","ကြာညို့ ထမင်းကြော်","","0.0","40.0","","Consumable"
"1","True","","True","21.0","THB","THB","Normal","0.0","","ခါကြက်ဥ","","0.0","30.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","ဂျင်းသုတ်","","0.0","30.0","","Consumable"
"1","True","","True","7.0","THB","THB","Normal","0.0","","ငချိတ်ပေါင်း","","0.0","20.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","ငှက်ပျော","","0.0","20.0","","Consumable"
"1","True","","True","28.0","THB","THB","Normal","0.0","","ဆန်းကစ်","","0.0","40.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","ဆားငန်သီး","","0.0","20.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","ဇီး ကျောက်ကျော","","0.0","20.0","","Consumable"
"1","True","","True","7.0","THB","THB","Normal","0.0","","တိုဟူးကြော်","","0.0","15.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","တို့ဟူးထမင်းနယ်","","0.0","40.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","ထမင်း","","0.0","10.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","ထမင်း","","0.0","10.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","ထမင်းဆီစမ်း အကြော်","","0.0","40.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","ထမင်းဆီဆမ်း ကြက်ဥ","","0.0","40.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","ထမင်းသုတ်","","0.0","40.0","","Consumable"
